t_f,rho_f
-17.0633330318394,-1.08564647636349
-15.8613546030832,-1.01129474783572
-15.4015232659193,-0.983468072753875
-15.0927752662251,-0.957921762929799
-15.7934798782437,-1.00578759963737
-13.9452226968183,-0.88642033398374
-17.4414532136823,-1.10548473699577
-16.3105985129057,-1.03580238550418
-17.0191593328764,-1.0838455121147
-15.7682272719782,-1.00516150171025
-15.7527684488079,-1.00535957781918
-16.8674314145389,-1.07044149634761
-16.4006988412791,-1.04407647742153
-16.0533719852588,-1.01083745476698
-16.1161380890934,-1.02152373391167
-16.0220127378052,-1.01799571630729
-16.7626660307925,-1.05932474770565
-15.497287689688,-0.985217527695783
-15.9657615600467,-1.02491019192212
-15.8798823175567,-1.01736276574431
-18.5744951049297,-1.16744021449404
-15.2686479686237,-0.971820329958049
-16.1967344793105,-1.03216034159358
-13.9883422807262,-0.88933328877949
-15.1834388276265,-0.968270276229727
-14.3899685541962,-0.913999869809521
-15.6407008589479,-0.995456599016285
-17.6237247260979,-1.1205497822372
-16.9017174787046,-1.0728059895725
-16.5219962728507,-1.0524686755294
-15.4947651909982,-0.986781124095819
-16.4224370647948,-1.04692504533788
-16.6644477706194,-1.0605106861575
-16.0715300304448,-1.02422381766771
-15.6060471576849,-0.994539611194917
-13.1957822761982,-0.822295210033681
-14.9491103168727,-0.94456198290389
-15.778525047943,-1.01174500402375
-15.6416309402403,-1.00646370740243
-16.8611042281681,-1.07176658158822
-15.5905765301294,-0.997720979976556
-15.9766332749433,-1.01855277173271
-14.7746459876056,-0.942869508614577
-16.4444049507487,-1.0456900467512
-14.9438274307168,-0.957339916328472
-16.3070431505505,-1.03207852415872
-16.9615161427508,-1.0785822600055
-15.3833081743003,-0.965733507604758
-16.2241685214662,-1.03697464323991
-16.7404165979178,-1.06487686436586
-17.4745394861283,-1.09353031787164
-15.4186090568995,-0.983549817634371
-14.7784016355387,-0.934251335316239
-13.8856881626375,-0.879588161339121
-15.9114601545957,-1.0137006461268
-16.7947186062393,-1.06895493397891
-16.1595999848962,-1.02892758951319
-15.1835798407612,-0.958963425148574
-13.7690138225819,-0.870445567326793
-14.9542264498788,-0.958720927915209
-14.7801280790131,-0.950004569934532
-16.5129343034394,-1.05090825188685
-13.961203834522,-0.880992016525242
-15.1321403025351,-0.973181734119197
-17.0831847013943,-1.08772126751557
-15.7661240639483,-1.00499382454231
-14.6000421337695,-0.92727630259588
-14.8245486125738,-0.94313236870906
-15.948899386413,-1.01611197362419
-15.8275878224185,-1.00935832984194
-16.3576043319338,-1.04095936423605
-17.1559350859463,-1.09245246644956
-17.5355363867544,-1.11139909502886
-16.0046179647718,-1.03481583229003
-15.9486468833333,-1.01691277366411
-17.6367249418523,-1.1127284357128
-14.8444900694897,-0.947470155257995
-15.6393024967518,-0.992239793431461
-16.5295901748718,-1.05242662486122
-17.4040654498582,-1.10297223159308
-16.9508776930922,-1.07762255795042
-15.1841413855058,-0.970507420591053
-15.2959438865561,-0.978646128117075
-15.8839358152458,-1.00915009328282
-16.8090935005354,-1.06699150062408
-16.2800782110552,-1.04615601380347
-18.2141820273567,-1.14534298660188
-17.3157695863256,-1.10508351490423
-16.3537588784796,-1.04179029642047
-13.9702499225854,-0.884601128966212
-16.6981839241308,-1.06166544703772
-15.1847165671906,-0.968570978364938
-16.058882310288,-1.02297869967756
-16.7075803276792,-1.06319778366328
-15.5675002597111,-0.988574146051823
-16.5652467143657,-1.05687132232153
-18.860149860372,-1.17752966642596
-15.699440594048,-1.00376318547493
